company,item,calories,calories_from_fat,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,weight_watchers_pnts,serving_size_g,all_nutrients_zero,macro_calories,macro_calorie_gap,pct_protein_cal,pct_carb_cal,pct_fat_cal,protein_g_per_100kcal,carbs_g_per_100kcal,total_fat_g_per_100kcal,fiber_g_per_100kcal,sodium_mg_per_100kcal,healthy_rule_v1,category
McDonald’s,Hamburger,250.0,80.0,9.0,3.5,0.5,25.0,520.0,31.0,2.0,6.0,12.0,247.5,,0,253.0,-3.0,18.97,49.01,32.02,4.8,12.4,3.6,0.8,208.0,1,burger
McDonald’s,Cheeseburger,300.0,110.0,12.0,6.0,0.5,40.0,750.0,33.0,2.0,6.0,15.0,297.0,,0,300.0,0.0,20.0,44.0,36.0,5.0,11.0,4.0,0.667,250.0,0,burger
McDonald’s,Double Cheeseburger,440.0,210.0,23.0,11.0,1.5,80.0,1150.0,34.0,2.0,7.0,25.0,433.0,,0,443.0,-3.0,22.57,30.7,46.73,5.682,7.727,5.227,0.455,261.364,0,burger
McDonald’s,McDouble,390.0,170.0,19.0,8.0,1.0,65.0,920.0,33.0,2.0,7.0,22.0,383.0,,0,391.0,-1.0,22.51,33.76,43.73,5.641,8.462,4.872,0.513,235.897,0,other
McDonald’s, Quarter Pounder® with Cheese,510.0,230.0,26.0,12.0,1.5,90.0,1190.0,40.0,3.0,9.0,29.0,502.0,,0,510.0,0.0,22.75,31.37,45.88,5.686,7.843,5.098,0.588,233.333,0,other
McDonald’s,Double Quarter Pounder® with Cheese,740.0,380.0,42.0,19.0,2.5,155.0,1380.0,40.0,3.0,9.0,48.0,720.0,,0,730.0,10.0,26.3,21.92,51.78,6.486,5.405,5.676,0.405,186.486,0,other
McDonald’s,Big Mac®,540.0,260.0,29.0,10.0,1.5,75.0,1040.0,45.0,3.0,9.0,25.0,534.0,,0,541.0,-1.0,18.48,33.27,48.24,4.63,8.333,5.37,0.556,192.593,0,other
McDonald’s,Big N’ Tasty®,460.0,220.0,24.0,8.0,1.5,70.0,720.0,37.0,3.0,8.0,24.0,452.0,,0,460.0,0.0,20.87,32.17,46.96,5.217,8.043,5.217,0.652,156.522,0,other
McDonald’s,Big N’ Tasty® with Cheese,510.0,250.0,28.0,11.0,1.5,85.0,960.0,38.0,3.0,8.0,27.0,502.0,,0,512.0,-2.0,21.09,29.69,49.22,5.294,7.451,5.49,0.588,188.235,0,other
McDonald’s,Angus Bacon & Cheese,790.0,350.0,39.0,17.0,2.0,145.0,2070.0,63.0,4.0,13.0,45.0,775.0,,0,783.0,7.0,22.99,32.18,44.83,5.696,7.975,4.937,0.506,262.025,0,other
